csp,pv,out
0.000,149.02047110,141.9518453
0.000,261.49387519,250.7394964
0.000,270.88633258,259.8376583
0.000,279.91570787,268.5845025
0.000,280.87387492,269.5183661
0.000,272.30357618,261.2290831
0.000,253.85136663,243.3795233
0.000,246.77921496,236.5378632
0.000,95.34456229,89.9323624
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,164.88304985,157.2912895
0.050,355.33029913,341.2683619
0.000,368.66483036,354.0864361
0.000,368.29102804,353.7297815
0.000,353.72530377,339.7330741
0.960,374.19574448,359.3939492
1.290,390.35876122,375.0197028
1.530,382.25568697,367.1864280
0.290,145.28753305,138.3555879
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.680,216.08596890,206.8136356
0.590,436.96430994,420.1035539
0.170,431.37606062,414.6895493
0.020,407.96582565,392.0415430
0.930,395.44542705,379.9317520
1.480,408.63417639,392.6821833
1.240,429.06527141,412.4396559
1.630,413.86931922,397.7452373
0.510,170.44838666,162.7251984
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
0.000,0.00000000,-0.6359546
